#Frame No	IDIAP	Vibe
577	0.418069	0.002367
578	0.431192	0.002660
579	0.459318	0.003504
580	0.450291	0.002531
581	0.390335	0.002722
582	0.382868	0.002510
583	0.385135	0.002554
584	0.387422	0.002564
585	0.413073	0.002453
586	0.401415	0.002106
587	0.403497	0.003469
588	0.390161	0.002522
589	0.388853	0.002880
590	0.379203	0.002499
591	0.404154	0.002375
592	0.403828	0.003650
593	0.403030	0.003363
594	0.407295	0.002494
595	0.422711	0.003003
596	0.400802	0.002328
597	0.382602	0.002530
598	0.393354	0.002676
599	0.384707	0.002512
600	0.387996	0.002148
601	0.382231	0.002678
602	0.376988	0.002468
603	0.389730	0.002581
604	0.384386	0.002630
605	0.395235	0.001912
606	0.385353	0.002599
607	0.385010	0.003296
608	0.387454	0.002531
609	0.426688	0.003210
610	0.405467	0.002278
611	0.388070	0.002553
612	0.393359	0.002342
613	0.407083	0.002534
614	0.457033	0.002845
615	0.442109	0.002388
616	0.435143	0.002326
617	0.403994	0.002418
618	0.435185	0.002453
619	0.418004	0.002372
620	0.396076	0.002390
621	0.387621	0.002196
622	0.381584	0.002567
623	0.384742	0.002252
624	0.389786	0.002519
625	0.382046	0.002535
626	0.384492	0.002399
627	0.386598	0.002362
628	0.391793	0.002646
629	0.381651	0.002388
630	0.380699	0.002573
631	0.376433	0.002392
632	0.380497	0.002917
633	0.385180	0.002739
634	0.388904	0.002660
635	0.386702	0.002967
636	0.385311	0.002390
637	0.389921	0.002629
638	0.383519	0.002741
639	0.384676	0.002543
640	0.380217	0.002556
641	0.388094	0.002447
642	0.391414	0.002829
643	0.382301	0.003296
644	0.404415	0.004016
645	0.429944	0.003111
646	0.446740	0.002419
647	0.419253	0.002691
648	0.393130	0.002566
649	0.425665	0.002927
650	0.401216	0.002608
651	0.412128	0.002355
652	0.401615	0.003274
653	0.398451	0.002506
654	0.395669	0.002761
655	0.396580	0.002734
656	0.391871	0.002602
657	0.412985	0.002573
658	0.390776	0.002648
659	0.399669	0.003038
660	0.392132	0.002442
661	0.385896	0.002440
662	0.401800	0.002159
663	0.395368	0.002701
664	0.386653	0.002786
665	0.385916	0.002715
666	0.383984	0.002308
667	0.394494	0.002655
668	0.398418	0.002980
669	0.387780	0.002447
670	0.392462	0.002945
671	0.378901	0.003095
672	0.382832	0.002600
673	0.386135	0.002617
674	0.383671	0.002654
675	0.382213	0.002594
676	0.381865	0.002577
677	0.382852	0.002524
678	0.386024	0.002620
679	0.386908	0.003224
680	0.393163	0.002489
681	0.382797	0.002387
682	0.380663	0.002447
683	0.384519	0.002345
684	0.390050	0.002335
685	0.383885	0.002473
686	0.385515	0.002358
687	0.387818	0.003278
688	0.385394	0.002415
689	0.383462	0.002338
690	0.383494	0.002281
691	0.392961	0.002412
692	0.389851	0.001855
693	0.392804	0.002304
694	0.401266	0.002302
695	0.391771	0.002211
696	0.387373	0.002199
697	0.385778	0.002297
698	0.385534	0.002185
699	0.408685	0.001767
700	0.392400	0.002221
701	0.394151	0.002167
702	0.396991	0.002401
703	0.401918	0.002389
704	0.399024	0.002287
705	0.417162	0.002244
706	0.402704	0.002268
707	0.380431	0.002364
708	0.388648	0.002206
709	0.388110	0.002233
710	0.383694	0.002294
711	0.382729	0.001950
712	0.383649	0.002492
713	0.381081	0.003258
714	0.383021	0.002208
715	0.384411	0.002182
716	0.396075	0.001884
717	0.385001	0.002258
718	0.390020	0.002269
719	0.412264	0.002861
720	0.404760	0.002319
721	0.385670	0.002253
722	0.387027	0.002379
723	0.389002	0.001897
